obj,k,test_number,ratio_TS,ratio_EB
square_root,10,2,1.599332511225615,1.0916189160819638
square_root,10,3,1.6278701624932703,0.9832561260598762
square_root,10,4,1.634462435035176,1.0054437345772398
square_root,10,5,1.6361654265561267,0.9846528647731204
square_root,10,6,1.62621753975071,0.9950066751919505
square_root,10,7,1.5566929246839063,1.0211180970586808
square_root,10,8,1.6200490454244363,1.1179295891254062
square_root,10,9,1.6190160000543856,1.0559990733907767
square_root,10,10,1.6093362456208247,1.0005873559055134
square_root,10,11,1.632232655612926,0.962244527930295
square_root,10,12,1.612237562444963,1.0060784915575136
square_root,10,13,1.5966375489551263,0.9826326355770131
square_root,10,14,1.630567400557849,0.9802602759778108
square_root,10,15,1.6112625067081745,1.0337627485698448
square_root,10,16,1.620118682453723,1.0612094898440076
square_root,10,17,1.6120707759953183,1.0387408789398738
square_root,10,18,1.6191334338081789,1.0116797811528235
square_root,10,19,1.6162296096454496,1.0270587185691675
square_root,10,20,1.614984608160621,1.0474667893946121
square_root,10,21,1.6205203015931888,0.9925161151717334
square_root,10,22,1.634885499420834,0.9856288224647167
square_root,10,23,1.6225914172199525,1.0589362151548682
square_root,10,24,1.5743089817742677,1.0314487197590347
square_root,10,25,1.5916202945800046,1.012625095135005
square_root,10,26,1.631243941332076,0.9845543702822148
square_root,10,27,1.5998885829921554,1.0680597195880317
square_root,10,28,1.6072572941832854,1.0728112126206795
square_root,10,29,1.629936034896794,1.000739334824681
square_root,10,30,1.632371300827777,0.998631340580498
square_root,10,31,1.6212885550620175,1.00762449278178
square_root,10,32,1.5961564563438972,1.1069255826794642
square_root,10,33,1.6200703737588733,0.9614832206738275
square_root,10,34,1.6041613817340568,1.0413395358678457
square_root,10,35,1.6192825603942815,1.013159088108249
square_root,10,36,1.6303984254305695,1.0091678637689072
square_root,10,37,1.5906617559700758,1.0572890797479149
square_root,10,38,1.6022572451917012,0.990440275254527
square_root,10,39,1.6165155498415258,1.0510697163670875
square_root,10,40,1.6053373609375103,1.0007522801314412
square_root,10,41,1.5722145783311603,1.015224773158435
square_root,10,42,1.629929271543856,0.9997251912830631
square_root,10,43,1.6443673720589471,0.9981846478479285
square_root,10,44,1.6413583031418961,1.0149483792148801
square_root,10,45,1.6209921107311476,1.0152240816877787
square_root,10,46,1.6306447484231923,1.1072481278815876
square_root,10,47,1.6123300564009933,1.0549676537925425
square_root,10,48,1.6262250926071606,1.0635753647609008
square_root,10,49,1.6022108642720887,0.9949549152027702
square_root,10,50,1.6300655278399172,0.9917997386830543
