obj,k,measure,test_number,ratio_TS,ratio_EB
CES-2,10,"(2, 8)",3,1.6228644229271467,1.0174643338838705
CES-2,10,"(2, 8)",4,1.614899567324123,0.9831359335160816
CES-2,10,"(2, 8)",5,1.6175922430822194,0.9745905271845976
CES-2,10,"(2, 8)",6,1.6144470955520114,0.977609199122072
CES-2,10,"(2, 8)",7,1.5980468154394745,0.9902640838841386
CES-2,10,"(2, 8)",8,1.6195342414155127,1.005363489826533
CES-2,10,"(2, 8)",9,1.6085512399723618,0.9832785583279096
CES-2,10,"(2, 8)",10,1.6147514538830476,1.0118765344422134
CES-2,10,"(2, 8)",11,1.6362778637434552,1.0044584042003375
CES-2,10,"(2, 8)",12,1.646796423703412,1.005255211817386
CES-2,10,"(2, 8)",13,1.625499229746792,1.0103086625231847
CES-2,10,"(2, 8)",14,1.6072143692911174,0.9961215484552866
CES-2,10,"(2, 8)",15,1.6093440104792534,1.008575100329918
CES-2,10,"(2, 8)",16,1.6354395637788028,0.990078610633176
CES-2,10,"(2, 8)",17,1.6424939693914749,0.9996378268646686
CES-2,10,"(2, 8)",18,1.6013894397428905,0.9908416093929172
CES-2,10,"(2, 8)",19,1.6146048905129535,1.0117379178930426
CES-2,10,"(2, 8)",20,1.6389732749095691,0.9991102648574126
CES-2,10,"(2, 8)",21,1.6023232013526667,0.9845034477729478
CES-2,10,"(2, 8)",22,1.6184360914078733,0.9749547356781092
CES-2,10,"(2, 8)",23,1.6204539060185987,0.9999011239214544
CES-2,10,"(2, 8)",24,1.616483112669776,0.9878661127472004
CES-2,10,"(2, 8)",25,1.6031274809460443,1.0052436978379296
CES-2,10,"(2, 8)",26,1.593082022743749,0.9828241193731834
CES-2,10,"(2, 8)",27,1.6207650711473351,1.008083636334646
CES-2,10,"(2, 8)",28,1.6246810303876362,1.0164682085443182
CES-2,10,"(2, 8)",29,1.629714457896071,1.002008592591491
CES-2,10,"(2, 8)",30,1.640046546367525,0.9971530158960392
CES-2,10,"(2, 8)",31,1.6080540998098167,1.0077433166482768
CES-2,10,"(2, 8)",32,1.59736815902364,0.9882992459984132
CES-2,10,"(2, 8)",33,1.6151595377850696,0.9988438193719316
CES-2,10,"(2, 8)",34,1.6238691600355353,1.0019504099064307
CES-2,10,"(2, 8)",35,1.6346653609032382,0.9800215703700452
CES-2,10,"(2, 8)",36,1.619209109454514,1.0061628135825873
CES-2,10,"(2, 8)",37,1.6172036540697072,0.9992703184031898
CES-2,10,"(2, 8)",38,1.626261719858907,1.0033804047619863
CES-2,10,"(2, 8)",39,1.607055531814476,0.9859789772135356
CES-2,10,"(2, 8)",40,1.6015638453243364,0.992482095426321
CES-2,10,"(2, 8)",41,1.6065521991128553,1.0235053045095357
CES-2,10,"(2, 8)",42,1.6307883543454116,0.9866229615567396
CES-2,10,"(2, 8)",43,1.6050987577015894,0.9975954962514088
CES-2,10,"(2, 8)",44,1.608961610758064,1.0110325482986464
CES-2,10,"(2, 8)",45,1.6309350945489778,1.0034178904919793
CES-2,10,"(2, 8)",46,1.6119574721368932,0.9939475150749054
CES-2,10,"(2, 8)",47,1.6182334970045242,1.0012301425808756
CES-2,10,"(2, 8)",48,1.6069911098119125,1.0008591368956326
CES-2,10,"(2, 8)",49,1.611519157628889,0.9952411816637768
CES-2,10,"(2, 8)",50,1.6234429977583764,1.0099770429388173
square_root,10,"(2, 8)",1,1.6213430837553793,1.00864137578088
square_root,10,"(2, 8)",2,1.6149653039560916,1.0097013563475443
square_root,10,"(2, 8)",3,1.6150661069475944,1.0048513460783843
square_root,10,"(2, 8)",4,1.6110159941295312,0.9908988813562464
square_root,10,"(2, 8)",5,1.6151606678861472,0.9884781981015814
square_root,10,"(2, 8)",6,1.612226221441361,0.9887707485402948
square_root,10,"(2, 8)",7,1.6024521875180089,0.9945362036182124
square_root,10,"(2, 8)",8,1.6147326318664244,1.0000585801268884
square_root,10,"(2, 8)",9,1.6095138548212842,0.9910909392495189
square_root,10,"(2, 8)",10,1.6102934947600929,1.0058967650163475
square_root,10,"(2, 8)",11,1.6226241398847152,1.001844858651075
square_root,10,"(2, 8)",12,1.631853824002559,1.0008635501103265
square_root,10,"(2, 8)",13,1.6200891922520164,1.0037334495955936
square_root,10,"(2, 8)",14,1.6065852644162455,0.997097645329428
square_root,10,"(2, 8)",15,1.6102759056721083,1.004029744822143
square_root,10,"(2, 8)",16,1.6250169961568883,0.9948910095777156
square_root,10,"(2, 8)",17,1.6300750867270912,0.9998553523637588
square_root,10,"(2, 8)",18,1.6050323370963755,0.9950320141034072
square_root,10,"(2, 8)",19,1.6165422153173694,1.0051862636126632
square_root,10,"(2, 8)",20,1.6266107799122016,1.000240763537437
square_root,10,"(2, 8)",21,1.605888929599639,0.9937316618162504
square_root,10,"(2, 8)",22,1.6146610665150312,0.9880146664161314
square_root,10,"(2, 8)",23,1.6134437276921794,0.9990922101382884
square_root,10,"(2, 8)",24,1.6143920696559213,0.9938701184142242
square_root,10,"(2, 8)",25,1.604053344202768,1.0003080289413333
square_root,10,"(2, 8)",26,1.6017469166411686,0.9928544760622752
square_root,10,"(2, 8)",27,1.6171254082689794,1.0022869473256693
square_root,10,"(2, 8)",28,1.620763508033548,1.0090016760193763
square_root,10,"(2, 8)",29,1.6232595579383269,0.9985317398747936
square_root,10,"(2, 8)",30,1.6281516535558067,0.9985690400908156
square_root,10,"(2, 8)",31,1.6124239508369322,1.0037487701062746
square_root,10,"(2, 8)",32,1.6012079396188863,0.9947105250797498
square_root,10,"(2, 8)",33,1.6135171872460272,1.0001075721146868
square_root,10,"(2, 8)",34,1.6179133744989134,1.0005550639523508
square_root,10,"(2, 8)",35,1.6234142927935766,0.988677715489633
square_root,10,"(2, 8)",36,1.617032228027695,1.0020251927110837
square_root,10,"(2, 8)",37,1.6134056661322853,0.99894323983597
square_root,10,"(2, 8)",38,1.6199552988941206,1.001779618542101
square_root,10,"(2, 8)",39,1.6078223366429845,0.994033917257658
square_root,10,"(2, 8)",40,1.6027587983797424,0.9969891568794162
square_root,10,"(2, 8)",41,1.608179287813904,1.0074885029508815
square_root,10,"(2, 8)",42,1.621825928309886,0.9932539046273442
square_root,10,"(2, 8)",43,1.60727980415274,0.9967929036183468
square_root,10,"(2, 8)",44,1.6086950254096133,1.00302519881151
square_root,10,"(2, 8)",45,1.6218744213726133,0.9996836314393714
square_root,10,"(2, 8)",46,1.6115508703356023,0.9965529785318736
square_root,10,"(2, 8)",47,1.6138683771895956,0.9986133490142342
square_root,10,"(2, 8)",48,1.6095769540994542,1.0024542019297968
square_root,10,"(2, 8)",49,1.6111707767305117,0.9978751754978508
square_root,10,"(2, 8)",50,1.6198712496746648,1.0024254987958163
max,5,"(8, 32)",1,1.8391509550908287,1.049792426159819
max,5,"(8, 32)",2,1.7790013885709357,0.9910555500675868
max,5,"(8, 32)",3,1.8235476342752552,1.0408630042391376
max,5,"(8, 32)",4,1.7936653352725351,0.9851375865330714
max,5,"(8, 32)",5,1.8780719837131947,0.946843798805362
max,5,"(8, 32)",6,1.85735823723996,1.0585781000854009
max,5,"(8, 32)",7,1.8636273260202616,0.9432113206963484
max,5,"(8, 32)",8,1.7674714256103563,1.0037165521171518
max,5,"(8, 32)",9,1.88000975757264,0.9682912484796496
max,5,"(8, 32)",10,1.822499576276883,0.9482731755619124
max,5,"(8, 32)",11,1.8191117713945169,0.941283032636009
max,5,"(8, 32)",12,1.8494442577318608,0.9743521493950342
max,5,"(8, 32)",13,1.836339795013664,0.9234122863715972
max,5,"(8, 32)",14,1.8170697813700267,0.9700623129461696
max,5,"(8, 32)",15,1.852432285192256,0.9655254493004644
max,5,"(8, 32)",16,1.89727619753298,1.0209810578303065
max,5,"(8, 32)",17,1.842038518591401,0.936867289207076
max,5,"(8, 32)",18,1.874376377984099,0.9815747437173512
max,5,"(8, 32)",19,1.8418580316544904,0.9661090107097682
max,5,"(8, 32)",20,1.826505832082772,0.9238651144581922
max,5,"(8, 32)",21,1.84762107605578,1.0205496550143784
max,5,"(8, 32)",22,1.892251524314296,1.014518169712996
max,5,"(8, 32)",23,1.8859066379584728,0.9972452250464
max,5,"(8, 32)",24,1.8356047274395133,0.9762787930265774
max,5,"(8, 32)",25,1.837944323086241,0.906799045215404
max,5,"(8, 32)",26,1.833331629213523,0.9743242090882412
max,5,"(8, 32)",27,1.8117723761625069,0.9997471615385304
max,5,"(8, 32)",28,1.855569189882896,0.9771664792785276
max,5,"(8, 32)",29,1.880190806931194,0.9498230200028472
max,5,"(8, 32)",30,1.8872770377562988,1.0259385183830227
max,5,"(8, 32)",31,1.8560359648087768,0.9799098123048656
max,5,"(8, 32)",32,1.8233355711230628,1.0537366929663907
max,5,"(8, 32)",33,1.8379036461844027,1.0690449464289615
max,5,"(8, 32)",34,1.8281620262923344,0.9488975118888436
max,5,"(8, 32)",35,1.8271185073357747,1.001532766009007
max,5,"(8, 32)",36,1.8287915015839449,0.9918914029026178
max,5,"(8, 32)",37,1.8340024433438151,0.9629593597989856
max,5,"(8, 32)",38,1.9103254139750487,0.9639979397576428
max,5,"(8, 32)",39,1.8779843660907,0.9758815599896892
max,5,"(8, 32)",40,1.8064821985501744,0.9808339406178652
max,5,"(8, 32)",41,1.861898386967388,1.004751839506436
max,5,"(8, 32)",42,1.8843437723179737,0.9889546178883732
max,5,"(8, 32)",43,1.9291533665462224,1.1038113586303555
max,5,"(8, 32)",44,1.82431050681262,0.9529519818332948
max,5,"(8, 32)",45,1.8368838861049488,1.0015588703660685
max,5,"(8, 32)",46,1.8883795434387447,0.9691790761642332
max,5,"(8, 32)",47,1.9038928181166088,1.0328314164871883
max,5,"(8, 32)",48,1.8689293628529533,0.9916511541821352
max,5,"(8, 32)",49,1.786700240552893,0.9844656178668532
max,5,"(8, 32)",50,1.9064326996766023,0.9812367364890828
CES-2,5,"(8, 32)",1,1.430655977494563,1.0393007015733262
CES-2,5,"(8, 32)",2,1.4358498015170655,1.0050278329162308
CES-2,5,"(8, 32)",3,1.458467360009759,1.0329113759327704
CES-2,5,"(8, 32)",4,1.432148676847376,0.9956542118729984
CES-2,5,"(8, 32)",5,1.4479070028258163,0.9711678736618764
CES-2,5,"(8, 32)",6,1.4464137889677713,1.0314161715071022
CES-2,5,"(8, 32)",7,1.4533376269104696,0.9666293441554312
CES-2,5,"(8, 32)",8,1.443698691153221,1.015521314821396
CES-2,5,"(8, 32)",9,1.4542659752273446,0.9708069462709908
CES-2,5,"(8, 32)",10,1.4421481394508269,0.961860006160315
CES-2,5,"(8, 32)",11,1.4525294091615109,0.9607132203276156
CES-2,5,"(8, 32)",12,1.4460511354561123,0.986678185939067
CES-2,5,"(8, 32)",13,1.454098325866563,0.949511134160978
CES-2,5,"(8, 32)",14,1.443348059611524,0.9864395347107356
CES-2,5,"(8, 32)",15,1.4355348090289832,0.9633283153421062
CES-2,5,"(8, 32)",16,1.4392484613304593,0.98782299634946
CES-2,5,"(8, 32)",17,1.4444940093588488,0.964531668795934
CES-2,5,"(8, 32)",18,1.465046162455475,0.996999279071233
CES-2,5,"(8, 32)",19,1.4532028741045888,0.99642491924746
CES-2,5,"(8, 32)",20,1.4499063395602916,0.9717339421176804
CES-2,5,"(8, 32)",21,1.4526595862884175,1.0110646116352124
CES-2,5,"(8, 32)",22,1.447884717081101,0.9963097909421929
CES-2,5,"(8, 32)",23,1.4508142453797217,0.993141876354014
CES-2,5,"(8, 32)",24,1.4249941263046175,0.990405766510512
CES-2,5,"(8, 32)",25,1.4440711585732546,0.9590540743848608
CES-2,5,"(8, 32)",26,1.4469966497712066,1.0006188540045298
CES-2,5,"(8, 32)",27,1.4433054565913588,1.0071182474907805
CES-2,5,"(8, 32)",28,1.436598283344018,0.977636355151854
CES-2,5,"(8, 32)",29,1.462635899839173,0.9636274350678486
CES-2,5,"(8, 32)",30,1.4520099818391177,0.9967877775983316
CES-2,5,"(8, 32)",31,1.4469731915325,0.9859985592356156
CES-2,5,"(8, 32)",32,1.4356509625284062,1.031156209750951
CES-2,5,"(8, 32)",33,1.4565008237966235,1.0503679202866243
CES-2,5,"(8, 32)",34,1.4415212622493347,0.9602767037681532
CES-2,5,"(8, 32)",35,1.445877361677554,1.0002976311499827
CES-2,5,"(8, 32)",36,1.4383982119345928,0.9850874061994708
CES-2,5,"(8, 32)",37,1.4471836827012474,0.9824417695500024
CES-2,5,"(8, 32)",38,1.4566046688684755,0.9887508590185924
CES-2,5,"(8, 32)",39,1.462379129857008,0.9686815140122532
CES-2,5,"(8, 32)",40,1.441041515656939,0.9908241048939972
CES-2,5,"(8, 32)",41,1.471014859724722,1.0169659579435315
CES-2,5,"(8, 32)",42,1.4413744934616466,0.9785552544831748
CES-2,5,"(8, 32)",43,1.4490376426684106,1.0515126494254745
CES-2,5,"(8, 32)",44,1.4591568152897156,0.9777260059718668
CES-2,5,"(8, 32)",45,1.449571622324501,0.980929754723314
CES-2,5,"(8, 32)",46,1.4635732529068697,0.9948031208839038
CES-2,5,"(8, 32)",47,1.4579291294710124,1.0182986120996669
CES-2,5,"(8, 32)",48,1.456405506582683,0.977450915122552
CES-2,5,"(8, 32)",49,1.4211036540185549,0.9980877483542098
CES-2,5,"(8, 32)",50,1.452361101356724,0.9933448734129272
square_root,5,"(8, 32)",1,1.4457678131404486,1.0185328426508538
square_root,5,"(8, 32)",2,1.4533812477314842,1.0018496031264092
square_root,5,"(8, 32)",3,1.4666103883115458,1.0132526310751733
square_root,5,"(8, 32)",4,1.450810197928277,1.000546040866863
square_root,5,"(8, 32)",5,1.45730482923458,0.9892633198517544
square_root,5,"(8, 32)",6,1.457429743502528,1.012298697875258
square_root,5,"(8, 32)",7,1.4593721711172545,0.9865299661601072
square_root,5,"(8, 32)",8,1.458572451569154,1.006544306409063
square_root,5,"(8, 32)",9,1.4602764581487615,0.9877573777233954
square_root,5,"(8, 32)",10,1.4544699805324917,0.9833177042859218
square_root,5,"(8, 32)",11,1.4625362350237396,0.9839217666695708
square_root,5,"(8, 32)",12,1.4582368532462937,0.9967665560153958
square_root,5,"(8, 32)",13,1.4607767906989702,0.9764888672970136
square_root,5,"(8, 32)",14,1.4557528618561557,0.9963491634147528
square_root,5,"(8, 32)",15,1.4517716759561947,0.9850607131777832
square_root,5,"(8, 32)",16,1.4493513987132591,0.992508039531956
square_root,5,"(8, 32)",17,1.4552654572391233,0.9861581449248096
square_root,5,"(8, 32)",18,1.4668854972436671,1.0016775246431413
square_root,5,"(8, 32)",19,1.4595339055599936,1.0005456901394247
square_root,5,"(8, 32)",20,1.4586622956691513,0.9897006393349168
